,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
13301,1998,6,Alagoas,São Miguel dos Campos,4819,63,6095,5639,Argentina
13443,1998,8,Alagoas,Maceió,2903,161,5000000,350000,Taiwan (Formosa)
13514,1998,7,Alagoas,Maceió,2009,249,3516,8025,Estados Unidos
13524,1998,4,Alagoas,São Miguel dos Campos,4819,845,2905,5264,Uruguai
13558,1998,6,Alagoas,Pilar,9998,628,62871,11663,Reino Unido
13623,1998,2,Alagoas,Matriz de Camaragibe,1701,676,8000000,1945920,Rússia
13680,1998,4,Alagoas,Matriz de Camaragibe,1701,249,512390,215496,Estados Unidos
13698,1998,5,Alagoas,Maceió,2009,767,144,792,Suíça
13854,1998,8,Alagoas,Arapiraca,2401,245,866435,1372981,Espanha
13944,1998,1,Alagoas,Coruripe,1701,676,10000000,2268996,Rússia
13981,1998,1,Alagoas,São Luís do Quitunde,1701,676,21961000,5550056,Rússia
13982,1998,1,Alagoas,Maceió,1701,505,3000000,825000,Moçambique
14096,1998,4,Alagoas,São Luís do Quitunde,1701,249,1255980,528228,Estados Unidos
14118,1998,4,Alagoas,União dos Palmares,1701,249,7303660,3135522,Estados Unidos
14241,1998,11,Alagoas,Rio Largo,9998,990,22680,8307,Provisão de Navios e Aeronaves
14305,1998,12,Alagoas,Maceió,8541,249,8081,350296,Estados Unidos
14520,1998,5,Alagoas,Pilar,9998,573,76029,15548,Países Baixos (Holanda)
14544,1998,5,Alagoas,Arapiraca,2401,245,7695,13851,Espanha
14626,1998,11,Alagoas,Maceió,9018,23,100,1268,Alemanha
14725,1998,11,Alagoas,Marechal Deodoro,3920,845,6287,15529,Uruguai
14790,1998,12,Alagoas,Maceió,7602,249,156000,169355,Estados Unidos
14797,1998,12,Alagoas,Arapiraca,2401,464,29484,27125,Mali
14816,1998,12,Alagoas,Maceió,1701,607,12100000,5283707,Portugal
14897,1998,3,Alagoas,Maceió,1701,249,13650000,3435432,Estados Unidos
14959,1998,3,Alagoas,Arapiraca,2401,249,104175,392740,Estados Unidos
15040,1998,12,Alagoas,Marechal Deodoro,3920,845,2692,6649,Uruguai
15142,1998,6,Alagoas,Maceió,9998,990,296,911,Provisão de Navios e Aeronaves
15191,1998,7,Alagoas,Maceió,7602,249,78600,67971,Estados Unidos
15373,1998,9,Alagoas,Maceió,2903,249,5624709,651341,Estados Unidos
15394,1998,2,Alagoas,Maceió,2903,399,10438424,1210857,Japão
15488,1998,4,Alagoas,Maceió,1701,53,25500000,5669921,Arábia Saudita
15681,1998,12,Alagoas,Maceió,2009,767,144,763,Suíça
15730,1998,4,Alagoas,Coruripe,1701,676,11000000,2243230,Rússia
15770,1998,7,Alagoas,São Luís do Quitunde,1701,249,3069750,1317976,Estados Unidos
15858,1998,7,Alagoas,Coruripe,1701,249,3192170,1379125,Estados Unidos
15943,1998,12,Alagoas,São José da Laje,1701,249,2138710,918689,Estados Unidos
15960,1998,12,Alagoas,Maceió,1701,676,11000000,1683550,Rússia
16004,1998,1,Alagoas,São Luís do Quitunde,1701,249,2511960,1076699,Estados Unidos
16006,1998,1,Alagoas,União dos Palmares,1701,676,40099390,10278228,Rússia
16089,1998,6,Alagoas,Maceió,3304,399,528,7374,Japão
16092,1998,3,Alagoas,Coruripe,1701,676,3400000,814028,Rússia
16190,1998,9,Alagoas,Maceió,3303,399,125,1853,Japão
16212,1998,5,Alagoas,São Luís do Quitunde,1201,87,2122782,500000,Bélgica
16235,1998,12,Alagoas,Maceió,1701,249,21351880,9078490,Estados Unidos
16268,1998,5,Alagoas,Maceió,3304,399,90,799,Japão
16314,1998,12,Alagoas,Maceió,9998,990,1053,2191,Provisão de Navios e Aeronaves
16350,1998,11,Alagoas,Maceió,2815,329,8341216,1298143,Guiné
16358,1998,4,Alagoas,São José da Laje,1701,249,1124250,477728,Estados Unidos
16548,1998,8,Alagoas,Lagoa da Canoa,2401,193,9435,14624,Costa do Marfim
16552,1998,4,Alagoas,Arapiraca,2401,275,358123,675640,França
16600,1998,11,Alagoas,Pilar,9998,990,83868,19631,Provisão de Navios e Aeronaves
16603,1998,8,Alagoas,Maceió,801,249,144,1050,Estados Unidos
